"location","target_end_date","reference_date","target","horizon","output_type","output_type_id","value"
"Central","2025-12-06","2025-12-13","wk inc covid hosp",-1,"quantile",0.025,29
"Central","2025-12-06","2025-12-13","wk inc covid hosp",-1,"quantile",0.1,33
"Central","2025-12-06","2025-12-13","wk inc covid hosp",-1,"quantile",0.25,37.4
"Central","2025-12-06","2025-12-13","wk inc covid hosp",-1,"quantile",0.5,54.8
"Central","2025-12-06","2025-12-13","wk inc covid hosp",-1,"quantile",0.75,84.4
"Central","2025-12-06","2025-12-13","wk inc covid hosp",-1,"quantile",0.9,101.4
"Central","2025-12-06","2025-12-13","wk inc covid hosp",-1,"quantile",0.975,113.2
"Central","2025-12-06","2025-12-13","wk inc flu hosp",-1,"quantile",0.025,39.2
"Central","2025-12-06","2025-12-13","wk inc flu hosp",-1,"quantile",0.1,54
"Central","2025-12-06","2025-12-13","wk inc flu hosp",-1,"quantile",0.25,72
"Central","2025-12-06","2025-12-13","wk inc flu hosp",-1,"quantile",0.5,90.6
"Central","2025-12-06","2025-12-13","wk inc flu hosp",-1,"quantile",0.75,109.4
"Central","2025-12-06","2025-12-13","wk inc flu hosp",-1,"quantile",0.9,121.4
"Central","2025-12-06","2025-12-13","wk inc flu hosp",-1,"quantile",0.975,131.2
"Central","2025-12-06","2025-12-13","wk inc rsv hosp",-1,"quantile",0.025,4.33333333333333
"Central","2025-12-06","2025-12-13","wk inc rsv hosp",-1,"quantile",0.1,6
"Central","2025-12-06","2025-12-13","wk inc rsv hosp",-1,"quantile",0.25,7
"Central","2025-12-06","2025-12-13","wk inc rsv hosp",-1,"quantile",0.5,9
"Central","2025-12-06","2025-12-13","wk inc rsv hosp",-1,"quantile",0.75,10.3333333333333
"Central","2025-12-06","2025-12-13","wk inc rsv hosp",-1,"quantile",0.9,11.6666666666667
"Central","2025-12-06","2025-12-13","wk inc rsv hosp",-1,"quantile",0.975,12.6666666666667
"Central","2025-12-13","2025-12-13","wk inc covid hosp",0,"quantile",0.025,32.2222222222222
"Central","2025-12-13","2025-12-13","wk inc covid hosp",0,"quantile",0.1,38.6666666666667
"Central","2025-12-13","2025-12-13","wk inc covid hosp",0,"quantile",0.25,44.4444444444444
"Central","2025-12-13","2025-12-13","wk inc covid hosp",0,"quantile",0.5,55.2222222222222
"Central","2025-12-13","2025-12-13","wk inc covid hosp",0,"quantile",0.75,73.6666666666667
"Central","2025-12-13","2025-12-13","wk inc covid hosp",0,"quantile",0.9,87
"Central","2025-12-13","2025-12-13","wk inc covid hosp",0,"quantile",0.975,101.888888888889
"Central","2025-12-13","2025-12-13","wk inc flu hosp",0,"quantile",0.025,73.8888888888889
