time,geo_value,geo_type,covid
2022-08-27,Central,OH Region,250
2022-08-27,East,OH Region,234
2022-08-27,North East,OH Region,104
2022-08-27,North West,OH Region,34
2022-08-27,Ontario,Province,1318
2022-08-27,Toronto,OH Region,257
2022-08-27,West,OH Region,427
2022-08-20,Central,OH Region,251
2022-08-20,East,OH Region,253
2022-08-20,North East,OH Region,79
2022-08-20,North West,OH Region,32
2022-08-20,Ontario,Province,1339
2022-08-20,Toronto,OH Region,285
2022-08-20,West,OH Region,433
2022-08-13,Central,OH Region,249
2022-08-13,East,OH Region,270
2022-08-13,North East,OH Region,63
2022-08-13,North West,OH Region,29
2022-08-13,Ontario,Province,1354
2022-08-13,Toronto,OH Region,281
2022-08-13,West,OH Region,449
2022-08-06,Central,OH Region,293
2022-08-06,East,OH Region,274
2022-08-06,North East,OH Region,84
2022-08-06,North West,OH Region,34
2022-08-06,Ontario,Province,1419
2022-08-06,Toronto,OH Region,304
2022-08-06,West,OH Region,414
2022-07-30,Central,OH Region,321
2022-07-30,East,OH Region,304
2022-07-30,North East,OH Region,91
2022-07-30,North West,OH Region,21
2022-07-30,Ontario,Province,1505
2022-07-30,Toronto,OH Region,387
2022-07-30,West,OH Region,369
2022-07-23,Central,OH Region,344
2022-07-23,East,OH Region,316
2022-07-23,North East,OH Region,91
2022-07-23,North West,OH Region,20
2022-07-23,Ontario,Province,1443
2022-07-23,Toronto,OH Region,381
2022-07-23,West,OH Region,287
2022-07-16,Central,OH Region,276
2022-07-16,East,OH Region,212
2022-07-16,North East,OH Region,61
2022-07-16,North West,OH Region,19
2022-07-16,Ontario,Province,1054
2022-07-16,Toronto,OH Region,277
2022-07-16,West,OH Region,201
2022-07-09,Central,OH Region,196
2022-07-09,East,OH Region,142
2022-07-09,North East,OH Region,43
2022-07-09,North West,OH Region,25
2022-07-09,Ontario,Province,772
2022-07-09,Toronto,OH Region,203
2022-07-09,West,OH Region,161
2022-07-02,Central,OH Region,160
2022-07-02,East,OH Region,90
2022-07-02,North East,OH Region,34
2022-07-02,North West,OH Region,20
2022-07-02,Ontario,Province,589
2022-07-02,Toronto,OH Region,147
2022-07-02,West,OH Region,135
2022-06-25,Central,OH Region,125
2022-06-25,East,OH Region,70
2022-06-25,North East,OH Region,42
2022-06-25,North West,OH Region,24
2022-06-25,Ontario,Province,498
2022-06-25,Toronto,OH Region,125
2022-06-25,West,OH Region,112
2022-06-18,Central,OH Region,123
2022-06-18,East,OH Region,62
2022-06-18,North East,OH Region,48
2022-06-18,North West,OH Region,27
2022-06-18,Ontario,Province,488
2022-06-18,Toronto,OH Region,132
2022-06-18,West,OH Region,96
2022-06-11,Central,OH Region,142
2022-06-11,East,OH Region,86
2022-06-11,North East,OH Region,54
2022-06-11,North West,OH Region,27
2022-06-11,Ontario,Province,539
2022-06-11,Toronto,OH Region,130
2022-06-11,West,OH Region,101
2022-06-04,Central,OH Region,153
2022-06-04,East,OH Region,116
2022-06-04,North East,OH Region,50
2022-06-04,North West,OH Region,24
2022-06-04,Ontario,Province,683
2022-06-04,Toronto,OH Region,164
2022-06-04,West,OH Region,173
2022-05-28,Central,OH Region,195
2022-05-28,East,OH Region,167
2022-05-28,North East,OH Region,74
2022-05-28,North West,OH Region,32
2022-05-28,Ontario,Province,945
2022-05-28,Toronto,OH Region,203
2022-05-28,West,OH Region,272
2022-05-21,Central,OH Region,241
2022-05-21,East,OH Region,212
2022-05-21,North East,OH Region,88
2022-05-21,North West,OH Region,40
2022-05-21,Ontario,Province,1182
2022-05-21,Toronto,OH Region,256
2022-05-21,West,OH Region,334
2022-05-14,Central,OH Region,289
2022-05-14,East,OH Region,266
2022-05-14,North East,OH Region,121
2022-05-14,North West,OH Region,54
2022-05-14,Ontario,Province,1440
2022-05-14,Toronto,OH Region,282
2022-05-14,West,OH Region,418
2022-05-07,Central,OH Region,321
2022-05-07,East,OH Region,307
2022-05-07,North East,OH Region,146
2022-05-07,North West,OH Region,56
2022-05-07,Ontario,Province,1671
2022-05-07,Toronto,OH Region,337
2022-05-07,West,OH Region,494
2022-04-30,Central,OH Region,308
2022-04-30,East,OH Region,329
2022-04-30,North East,OH Region,146
2022-04-30,North West,OH Region,34
2022-04-30,Ontario,Province,1720
2022-04-30,Toronto,OH Region,364
2022-04-30,West,OH Region,527
2022-04-23,Central,OH Region,295
2022-04-23,East,OH Region,315
2022-04-23,North East,OH Region,130
2022-04-23,North West,OH Region,30
2022-04-23,Ontario,Province,1662
2022-04-23,Toronto,OH Region,345
2022-04-23,West,OH Region,531
2022-04-16,Central,OH Region,281
