"location","horizon","reference_date","target_end_date","target","output_type_id","value","output_type"
"Central",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.025",0,"quantile"
"Central",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.1",0,"quantile"
"Central",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.25",11,"quantile"
"Central",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.5",26,"quantile"
"Central",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.75",41,"quantile"
"Central",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.9",65,"quantile"
"Central",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.975",112,"quantile"
"Central",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.025",0,"quantile"
"Central",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.1",0,"quantile"
"Central",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.25",2,"quantile"
"Central",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.5",26,"quantile"
"Central",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.75",55,"quantile"
"Central",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.9",90,"quantile"
"Central",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.975",157,"quantile"
"Central",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.025",0,"quantile"
"Central",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.1",0,"quantile"
"Central",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.25",0,"quantile"
"Central",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.5",26,"quantile"
"Central",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.75",64,"quantile"
"Central",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.9",108,"quantile"
"Central",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.975",198,"quantile"
"Central",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.025",0,"quantile"
"Central",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.1",0,"quantile"
"Central",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.25",0,"quantile"
"Central",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.5",26,"quantile"
"Central",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.75",72,"quantile"
"Central",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.9",124,"quantile"
"Central",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.975",220,"quantile"
"East",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.025",0,"quantile"
"East",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.1",11,"quantile"
"East",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.25",31,"quantile"
"East",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.5",43,"quantile"
"East",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.75",55,"quantile"
"East",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.9",75,"quantile"
"East",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.975",106,"quantile"
"East",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.025",0,"quantile"
"East",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.1",0,"quantile"
"East",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.25",22,"quantile"
"East",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.5",43,"quantile"
"East",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.75",65,"quantile"
"East",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.9",93,"quantile"
"East",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.975",134,"quantile"
"East",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.025",0,"quantile"
"East",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.1",0,"quantile"
"East",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.25",14,"quantile"
"East",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.5",43,"quantile"
"East",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.75",73,"quantile"
"East",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.9",106,"quantile"
"East",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.975",161,"quantile"
"East",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.025",0,"quantile"
"East",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.1",0,"quantile"
"East",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.25",9,"quantile"
"East",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.5",43,"quantile"
"East",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.75",79,"quantile"
"East",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.9",117,"quantile"
"East",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.975",182,"quantile"
"North East",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.025",0,"quantile"
"North East",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.1",0,"quantile"
"North East",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.25",6,"quantile"
"North East",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.5",11,"quantile"
"North East",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.75",16,"quantile"
"North East",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.9",24,"quantile"
"North East",0,2025-04-26,2025-04-26,"wk inc covid hosp","0.975",37,"quantile"
"North East",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.025",0,"quantile"
"North East",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.1",0,"quantile"
"North East",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.25",3,"quantile"
"North East",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.5",11,"quantile"
"North East",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.75",20,"quantile"
"North East",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.9",30,"quantile"
"North East",1,2025-04-26,2025-05-03,"wk inc covid hosp","0.975",44,"quantile"
"North East",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.025",0,"quantile"
"North East",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.1",0,"quantile"
"North East",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.25",0,"quantile"
"North East",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.5",11,"quantile"
"North East",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.75",23,"quantile"
"North East",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.9",35,"quantile"
"North East",2,2025-04-26,2025-05-10,"wk inc covid hosp","0.975",51,"quantile"
"North East",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.025",0,"quantile"
"North East",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.1",0,"quantile"
"North East",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.25",0,"quantile"
"North East",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.5",11,"quantile"
"North East",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.75",25,"quantile"
"North East",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.9",39,"quantile"
"North East",3,2025-04-26,2025-05-17,"wk inc covid hosp","0.975",56,"quantile"
