time,geo_value,geo_type,covid,flu,rsv
2025-08-23,Central,OH Region,36,1,2
2025-08-23,East,OH Region,28,0,0
2025-08-23,North East,OH Region,3,0,0
2025-08-23,North West,OH Region,0,0,0
2025-08-23,Ontario,Province,131,2,3
2025-08-23,Toronto,OH Region,30,1,1
2025-08-23,West,OH Region,35,0,0
2025-08-16,Central,OH Region,32,2,1
2025-08-16,East,OH Region,29,0,0
2025-08-16,North East,OH Region,0,0,0
2025-08-16,North West,OH Region,0,0,0
2025-08-16,Ontario,Province,133,4,3
2025-08-16,Toronto,OH Region,28,1,2
2025-08-16,West,OH Region,44,0,0
2025-08-09,Central,OH Region,30,3,0
2025-08-09,East,OH Region,14,0,1
2025-08-09,North East,OH Region,4,0,0
2025-08-09,North West,OH Region,0,0,0
2025-08-09,Ontario,Province,97,4,3
2025-08-09,Toronto,OH Region,29,0,2
2025-08-09,West,OH Region,21,0,0
2025-08-02,Central,OH Region,21,3,1
2025-08-02,East,OH Region,11,0,0
2025-08-02,North East,OH Region,1,0,0
2025-08-02,North West,OH Region,0,0,0
2025-08-02,Ontario,Province,92,5,3
2025-08-02,Toronto,OH Region,29,0,2
2025-08-02,West,OH Region,27,1,0
2025-07-26,Central,OH Region,25,1,1
2025-07-26,East,OH Region,10,0,0
2025-07-26,North East,OH Region,2,0,0
2025-07-26,North West,OH Region,0,0,0
2025-07-26,Ontario,Province,84,4,3
2025-07-26,Toronto,OH Region,26,1,2
2025-07-26,West,OH Region,20,2,0
2025-07-19,Central,OH Region,23,1,0
2025-07-19,East,OH Region,11,0,0
2025-07-19,North East,OH Region,2,0,0
2025-07-19,North West,OH Region,0,0,0
2025-07-19,Ontario,Province,88,4,3
2025-07-19,Toronto,OH Region,28,1,2
2025-07-19,West,OH Region,25,2,0
2025-07-12,Central,OH Region,21,2,0
2025-07-12,East,OH Region,12,0,0
2025-07-12,North East,OH Region,1,0,0
2025-07-12,North West,OH Region,0,0,0
2025-07-12,Ontario,Province,82,5,2
2025-07-12,Toronto,OH Region,25,1,2
2025-07-12,West,OH Region,22,1,0
2025-07-05,Central,OH Region,19,6,1
2025-07-05,East,OH Region,11,1,0
2025-07-05,North East,OH Region,3,0,0
2025-07-05,North West,OH Region,0,0,0
2025-07-05,Ontario,Province,83,12,4
2025-07-05,Toronto,OH Region,19,4,2
2025-07-05,West,OH Region,30,1,0
2025-06-28,Central,OH Region,18,7,1
2025-06-28,East,OH Region,15,1,0
2025-06-28,North East,OH Region,6,0,0
2025-06-28,North West,OH Region,0,1,0
2025-06-28,Ontario,Province,92,15,5
2025-06-28,Toronto,OH Region,21,1,2
2025-06-28,West,OH Region,34,3,2
2025-06-21,Central,OH Region,16,2,2
2025-06-21,East,OH Region,17,2,0
2025-06-21,North East,OH Region,2,0,0
2025-06-21,North West,OH Region,1,1,0
2025-06-21,Ontario,Province,83,11,8
2025-06-21,Toronto,OH Region,26,2,2
2025-06-21,West,OH Region,22,3,4
2025-06-14,Central,OH Region,25,7,3
2025-06-14,East,OH Region,9,2,0
2025-06-14,North East,OH Region,3,0,0
2025-06-14,North West,OH Region,2,0,0
2025-06-14,Ontario,Province,101,20,6
2025-06-14,Toronto,OH Region,40,4,2
2025-06-14,West,OH Region,22,6,1
2025-06-07,Central,OH Region,21,5,1
2025-06-07,East,OH Region,10,4,1
2025-06-07,North East,OH Region,7,0,0
2025-06-07,North West,OH Region,0,0,0
2025-06-07,Ontario,Province,80,20,9
2025-06-07,Toronto,OH Region,24,5,5
2025-06-07,West,OH Region,15,5,2
2025-05-31,Central,OH Region,17,8,4
2025-05-31,East,OH Region,14,6,2
2025-05-31,North East,OH Region,2,0,0
2025-05-31,North West,OH Region,0,0,0
2025-05-31,Ontario,Province,70,30,16
2025-05-31,Toronto,OH Region,17,10,8
2025-05-31,West,OH Region,19,8,1
2025-05-24,Central,OH Region,20,5,4
2025-05-24,East,OH Region,17,8,5
2025-05-24,North East,OH Region,4,0,0
2025-05-24,North West,OH Region,3,1,0
2025-05-24,Ontario,Province,79,45,55
2025-05-24,Toronto,OH Region,17,21,9
2025-05-24,West,OH Region,18,9,35
2025-05-17,Central,OH Region,24,12,4
2025-05-17,East,OH Region,14,10,5
2025-05-17,North East,OH Region,5,2,0
2025-05-17,North West,OH Region,2,0,0
2025-05-17,Ontario,Province,93,64,25
2025-05-17,Toronto,OH Region,28,26,10
2025-05-17,West,OH Region,16,14,6
2025-05-10,Central,OH Region,26,20,3
2025-05-10,East,OH Region,19,17,6
2025-05-10,North East,OH Region,6,4,0
2025-05-10,North West,OH Region,0,0,0
2025-05-10,Ontario,Province,113,87,22
2025-05-10,Toronto,OH Region,33,24,9
2025-05-10,West,OH Region,28,21,2
2025-05-03,Central,OH Region,28,28,2
2025-05-03,East,OH Region,23,24,9
2025-05-03,North East,OH Region,9,3,0
2025-05-03,North West,OH Region,1,0,1
2025-05-03,Ontario,Province,111,105,29
2025-05-03,Toronto,OH Region,27,25,13
2025-05-03,West,OH Region,24,23,2
2025-04-26,Central,OH Region,30,36,3
2025-04-26,East,OH Region,35,27,8
2025-04-26,North East,OH Region,4,4,0
2025-04-26,North West,OH Region,0,1,2
2025-04-26,Ontario,Province,131,135,30
2025-04-26,Toronto,OH Region,30,31,12
2025-04-26,West,OH Region,30,35,3
2025-04-19,Central,OH Region,26,54,5
2025-04-19,East,OH Region,42,24,14
2025-04-19,North East,OH Region,11,8,2
2025-04-19,North West,OH Region,0,1,1
2025-04-19,Ontario,Province,143,150,44
2025-04-19,Toronto,OH Region,26,31,13
2025-04-19,West,OH Region,37,32,8
2025-04-12,Central,OH Region,19,61,6
2025-04-12,East,OH Region,28,36,13
2025-04-12,North East,OH Region,8,10,2
2025-04-12,North West,OH Region,0,1,2
2025-04-12,Ontario,Province,112,181,45
2025-04-12,Toronto,OH Region,22,34,10
2025-04-12,West,OH Region,35,38,11
2025-04-05,Central,OH Region,40,61,6
2025-04-05,East,OH Region,29,55,12
2025-04-05,North East,OH Region,3,16,5
2025-04-05,North West,OH Region,1,6,3
2025-04-05,Ontario,Province,134,221,62
2025-04-05,Toronto,OH Region,28,39,22
2025-04-05,West,OH Region,32,43,12
2025-03-29,Central,OH Region,40,66,7
2025-03-29,East,OH Region,40,85,17
2025-03-29,North East,OH Region,7,16,4
2025-03-29,North West,OH Region,0,8,4
2025-03-29,Ontario,Province,172,291,77
2025-03-29,Toronto,OH Region,38,51,32
2025-03-29,West,OH Region,45,64,13
2025-03-22,Central,OH Region,56,93,12
2025-03-22,East,OH Region,26,92,14
2025-03-22,North East,OH Region,4,34,1
2025-03-22,North West,OH Region,1,3,3
2025-03-22,Ontario,Province,178,379,84
2025-03-22,Toronto,OH Region,41,67,38
2025-03-22,West,OH Region,51,88,18
2025-03-15,Central,OH Region,49,85,13
2025-03-15,East,OH Region,28,124,22
2025-03-15,North East,OH Region,4,35,3
2025-03-15,North West,OH Region,3,18,3
2025-03-15,Ontario,Province,201,478,112
2025-03-15,Toronto,OH Region,50,106,47
2025-03-15,West,OH Region,65,106,22
2025-03-08,Central,OH Region,61,103,12
2025-03-08,East,OH Region,42,126,22
2025-03-08,North East,OH Region,9,38,7
2025-03-08,North West,OH Region,3,26,4
2025-03-08,Ontario,Province,276,518,124
2025-03-08,Toronto,OH Region,78,107,52
2025-03-08,West,OH Region,82,116,26
2025-03-01,Central,OH Region,74,92,9
2025-03-01,East,OH Region,60,147,26
2025-03-01,North East,OH Region,23,35,7
2025-03-01,North West,OH Region,3,20,3
2025-03-01,Ontario,Province,350,535,131
2025-03-01,Toronto,OH Region,89,97,56
2025-03-01,West,OH Region,103,138,29
2025-02-22,Central,OH Region,84,119,20
2025-02-22,East,OH Region,84,157,36
2025-02-22,North East,OH Region,23,32,10
2025-02-22,North West,OH Region,2,17,1
2025-02-22,Ontario,Province,448,619,151
2025-02-22,Toronto,OH Region,116,114,56
2025-02-22,West,OH Region,134,173,28
2025-02-15,Central,OH Region,106,152,33
2025-02-15,East,OH Region,100,170,33
2025-02-15,North East,OH Region,16,45,7
2025-02-15,North West,OH Region,3,17,3
2025-02-15,Ontario,Province,497,718,170
2025-02-15,Toronto,OH Region,120,129,60
